REGION,SETTLEMENTDATE,TOTALDEMAND,RRP,PERIODTYPE,ORIGINAL_DEMAND,MODELLED_DEMAND
VIC1,2025-01-01 14:55:00,4149.297272727273,10.874545454545457,AVERAGE,4149.297272727273,4481.241054545455
VIC1,2025-01-01 15:00:00,4180.894090909091,8.952575757575758,AVERAGE,4180.894090909091,4180.894090909091
VIC1,2025-01-01 15:05:00,4218.710454545455,13.787424242424242,AVERAGE,4218.710454545455,4218.710454545455
VIC1,2025-01-01 15:10:00,4255.105303030303,19.884848484848487,AVERAGE,4255.105303030303,4255.105303030303
VIC1,2025-01-01 15:15:00,4294.431212121212,21.39015151515152,AVERAGE,4294.431212121212,4294.431212121212
VIC1,2025-01-01 15:20:00,4331.913181818182,26.189545454545453,AVERAGE,4331.913181818182,4331.913181818182
VIC1,2025-01-01 15:25:00,4390.202727272727,29.26,AVERAGE,4390.202727272727,4390.202727272727
VIC1,2025-01-01 15:30:00,4440.735000000001,29.741969696969694,AVERAGE,4440.735000000001,4440.735000000001
VIC1,2025-01-01 15:35:00,4480.859696969696,17.199090909090906,AVERAGE,4480.859696969696,4480.859696969696
VIC1,2025-01-01 15:40:00,4516.420606060607,23.250454545454545,AVERAGE,4516.420606060607,4516.420606060607
VIC1,2025-01-01 15:45:00,4563.306818181818,25.565454545454543,AVERAGE,4563.306818181818,4563.306818181818
VIC1,2025-01-01 15:50:00,4615.037727272727,25.88636363636364,AVERAGE,4615.037727272727,4615.037727272727
VIC1,2025-01-01 15:55:00,4663.239393939394,23.201060606060604,AVERAGE,4663.239393939394,4663.239393939394
VIC1,2025-01-01 16:00:00,4710.809393939394,29.718030303030304,AVERAGE,4710.809393939394,4710.809393939394
VIC1,2025-01-01 16:05:00,4761.921969696969,21.005,AVERAGE,4761.921969696969,4761.921969696969
VIC1,2025-01-01 16:10:00,4791.175454545455,21.608939393939394,AVERAGE,4791.175454545455,4791.175454545455
VIC1,2025-01-01 16:15:00,4848.356666666667,31.35378787878788,AVERAGE,4848.356666666667,4848.356666666667
